result_type	original_text	perturbed_text	original_output	perturbed_output
Failed	anchored by friel and williams 's exceptional performances , the film 's power lies in its complexity .	anchored by friel and williams 's exceptional performances , the film 's power lies in its complexity .	1	1
Successful	without non-stop techno or the existential overtones of a kieslowski morality tale , maelström is just another winter sleepers .	maelström is a much more typical winter sleeper without techno or existentialism.	0	1
Successful	the film tries too hard to be funny and tries too hard to be hip .	the film's too much fun and too much of a challenge.	0	1
Failed	it just may inspire a few younger moviegoers to read stevenson 's book , which is a treasure in and of itself .	it just may inspire a few younger moviegoers to read stevenson 's book , which is a treasure in and of itself .	1	1
Successful	turns potentially forgettable formula into something strangely diverting .	it could make something weird out of a potentially boring formula.	1	0
Failed	it 's also , clearly , great fun .	it 's also , clearly , great fun .	1	1
Failed	oscar wilde 's masterpiece , the importance of being earnest , may be the best play of the 19th century .	oscar wilde 's masterpiece , the importance of being earnest , may be the best play of the 19th century .	1	1
Successful	it 's like watching a nightmare made flesh .	it's like being in a dream that's made of flesh.	0	1
Successful	forced , familiar and thoroughly condescending .	frankly, they are strong, familiar and utterly contemptuous	0	1
Successful	it 's hard to like a film about a guy who is utterly unlikeable , and shiner , starring michael caine as an aging british boxing promoter desperate for a taste of fame and fortune , is certainly that .	it's difficult to like a movie about a guy who's completely unlikeable, who's unruly, and he's desperate for fame and fortune, is a film that makes you want to watch him like a handsome man, as a British boxing champion,	0	1
Failed	the mesmerizing performances of the leads keep the film grounded and keep the audience riveted .	the mesmerizing performances of the leads keep the film grounded and keep the audience riveted .	1	1
Failed	belongs to daniel day-lewis as much as it belongs to martin scorsese ; it 's a memorable performance in a big , brassy , disturbing , unusual and highly successful film .	belongs to daniel day-lewis as much as it belongs to martin scorsese ; it 's a memorable performance in a big , brassy , disturbing , unusual and highly successful film .	1	1
Successful	if the first men in black was money , the second is small change .	money makes a small difference when the first black man is money.	0	1
Failed	for the most part stevens glides through on some solid performances and witty dialogue .	for the most part stevens glides through on some solid performances and witty dialogue .	1	1
Successful	it 's another video movie photographed like a film , with the bad lighting that 's often written off as indie film naturalism .	it's a movie that's been photographed as a film, usually as a naturalistic movie.	0	1
Successful	it 's somewhat clumsy and too lethargically paced -- but its story about a mysterious creature with psychic abilities offers a solid build-up , a terrific climax , and some nice chills along the way .	it's a bit of a cumbersome and lethargic pace, but the story of a mysterious creature with extraordinary powers is excellent, and the series offers a solid climax and a couple of good chilling moments.	0	1
Successful	looking aristocratic , luminous yet careworn in jane hamilton 's exemplary costumes , rampling gives a performance that could not be improved upon . '	for the sake of a brilliant, luminous, but careworn dress of Jane Hamilton, Rampling gives a performance that could not be improved.	1	0
Failed	thekids will probably stay amused at the kaleidoscope of big , colorful characters .	thekids will probably stay amused at the kaleidoscope of big , colorful characters .	1	1
Successful	i do n't mind having my heartstrings pulled , but do n't treat me like a fool .	but I don't mind if my heartstrings pull me, but I'm not gonna be a fool.	0	1
Failed	an exquisitely crafted and acted tale .	an exquisitely crafted and acted tale .	1	1
Successful	not since tom cruise in risky business has an actor made such a strong impression in his underwear .	in underwear, he didn't make such a strong impression as Tom Cruise on a risky movie.	1	0
Failed	or doing last year 's taxes with your ex-wife .	or doing last year 's taxes with your ex-wife .	0	0
Failed	scooby dooby doo \/ and shaggy too \/ you both look and sound great .	scooby dooby doo \/ and shaggy too \/ you both look and sound great .	1	1
Failed	may be far from the best of the series , but it 's assured , wonderfully respectful of its past and thrilling enough to make it abundantly clear that this movie phenomenon has once again reinvented itself for a new generation .	may be far from the best of the series , but it 's assured , wonderfully respectful of its past and thrilling enough to make it abundantly clear that this movie phenomenon has once again reinvented itself for a new generation .	1	1
Failed	one of those energetic surprises , an original that pleases almost everyone who sees it .	one of those energetic surprises , an original that pleases almost everyone who sees it .	1	1
Successful	does n't offer much besides glib soullessness , raunchy language and a series of brutal set pieces ... that raise the bar on stylized screen violence .	there's nothing more than a gutsy, filthy, crude, and brutal, stylized scene... that makes the bar on stylized violence rise.	0	1
Successful	movie fans , get ready to take off ... the other direction .	film fans, prepare to go...... to the next place.	0	1
Successful	not only unfunny , but downright repellent .	not only hilarious, but utterly shocking.	0	1
Successful	for the most part , it 's a work of incendiary genius , steering clear of knee-jerk reactions and quick solutions .	it's a lot of incendiary genius, but it's not as quick as reaction and quick solutions.	1	0
Successful	seldom has a movie so closely matched the spirit of a man and his work .	the spirit of the man and the work is rarely matched.	1	0
Successful	you 'll gasp appalled and laugh outraged and possibly , watching the spectacle of a promising young lad treading desperately in a nasty sea , shed an errant tear .	you may have a dozen tears, a disgusted look, and maybe a laugh.	1	0
Successful	comes off like a rejected abc afterschool special , freshened up by the dunce of a screenwriting 101 class .	it's like a great place to go to the classes, as a new edition of the University of Capricorn's filmography 101.	0	1
Failed	this flick is about as cool and crowd-pleasing as a documentary can get .	this flick is about as cool and crowd-pleasing as a documentary can get .	1	1
Failed	ramsay , as in ratcatcher , remains a filmmaker with an acid viewpoint and a real gift for teasing chilly poetry out of lives and settings that might otherwise seem drab and sordid .	ramsay , as in ratcatcher , remains a filmmaker with an acid viewpoint and a real gift for teasing chilly poetry out of lives and settings that might otherwise seem drab and sordid .	1	1
Successful	if there 's one thing this world needs less of , it 's movies about college that are written and directed by people who could n't pass an entrance exam .	it's about films that don't need to be written and directed by people who don't have the right to pass the entrance exam, and it's films about college.	0	1
Failed	director of photography benoit delhomme shot the movie in delicious colors , and the costumes and sets are grand .	director of photography benoit delhomme shot the movie in delicious colors , and the costumes and sets are grand .	1	1
Successful	instead , he shows them the respect they are due .	instead, he's showing them respect.	1	0
Successful	... plot holes so large and obvious a marching band might as well be stomping through them in clown clothes , playing a college football fight song on untuned instruments .	on a march, the march, the march... the march...... the march...... the march...... the march...... the march...... the march...... the march...... the march...... the march...... the	0	1
Failed	a quiet treasure -- a film to be savored .	a quiet treasure -- a film to be savored .	1	1
Failed	warm water under a red bridge is a quirky and poignant japanese film that explores the fascinating connections between women , water , nature , and sexuality .	warm water under a red bridge is a quirky and poignant japanese film that explores the fascinating connections between women , water , nature , and sexuality .	1	1
Successful	it 's too self-important and plodding to be funny , and too clipped and abbreviated to be an epic .	funny, and too much of a self-centered and self-exuberant thing.	0	1
Failed	few films capture so perfectly the hopes and dreams of little boys on baseball fields as well as the grown men who sit in the stands .	few films capture so perfectly the hopes and dreams of little boys on baseball fields as well as the grown men who sit in the stands .	1	1
Successful	the lower your expectations , the more you 'll enjoy it .	the lower the expectations, the better it is.	0	1
Successful	yes , dull .	yes, yes, yes, yes, yes	0	1
Successful	that 's pure pr hype .	it's a pretty good hype.	0	1
Failed	it is great summer fun to watch arnold and his buddy gerald bounce off a quirky cast of characters .	it is great summer fun to watch arnold and his buddy gerald bounce off a quirky cast of characters .	1	1
Failed	a subtle and well-crafted -lrb- for the most part -rrb- chiller .	a subtle and well-crafted -lrb- for the most part -rrb- chiller .	1	1
Failed	that is a compliment to kuras and miller .	that is a compliment to kuras and miller .	1	1
Successful	one of the more intelligent children 's movies to hit theaters this year .	this year's more intelligent kids' movie.	1	0
Failed	for the most part , director anne-sophie birot 's first feature is a sensitive , extraordinarily well-acted drama .	for the most part , director anne-sophie birot 's first feature is a sensitive , extraordinarily well-acted drama .	1	1
Failed	it 's a beautiful madness .	it 's a beautiful madness .	1	1
Failed	stealing harvard is evidence that the farrelly bros. -- peter and bobby -- and their brand of screen comedy are wheezing to an end , along with green 's half-hearted movie career .	stealing harvard is evidence that the farrelly bros. -- peter and bobby -- and their brand of screen comedy are wheezing to an end , along with green 's half-hearted movie career .	0	0
Failed	i sympathize with the plight of these families , but the movie does n't do a very good job conveying the issue at hand .	i sympathize with the plight of these families , but the movie does n't do a very good job conveying the issue at hand .	0	0
Failed	a giggle-inducing comedy with snappy dialogue and winning performances by an unlikely team of oscar-winners : susan sarandon and goldie hawn .	a giggle-inducing comedy with snappy dialogue and winning performances by an unlikely team of oscar-winners : susan sarandon and goldie hawn .	1	1
Successful	the words , ` frankly , my dear , i do n't give a damn , ' have never been more appropriate .	"""honestly, my dear, I don't give a shit,"" has never been more appropriate."	0	1
Failed	by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie .	by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie .	0	0
Failed	his healthy sense of satire is light and fun ...	his healthy sense of satire is light and fun ...	1	1
Failed	a grimly competent and stolid and earnest military courtroom drama .	a grimly competent and stolid and earnest military courtroom drama .	1	1
Failed	it moves quickly , adroitly , and without fuss ; it does n't give you time to reflect on the inanity -- and the cold war datedness -- of its premise .	it moves quickly , adroitly , and without fuss ; it does n't give you time to reflect on the inanity -- and the cold war datedness -- of its premise .	1	1
Successful	part low rent godfather .	part of the sacred king's house.	0	1
Failed	or emptying rat traps .	or emptying rat traps .	0	0
Failed	the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar-winning sound and james horner 's rousing score make good use of the hefty audio system .	the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar-winning sound and james horner 's rousing score make good use of the hefty audio system .	1	1
Successful	on the heels of the ring comes a similarly morose and humorless horror movie that , although flawed , is to be commended for its straight-ahead approach to creepiness .	there's a similarly morose and hilarious horror movie, though it's not quite so honest and understandable, that offers the same grimly and humorless horror movie, but with a slightly less sinister purpose.	1	0
Successful	harris commands the screen , using his frailty to suggest the ravages of a life of corruption and ruthlessness .	the screen's commands are taken by the frailty of his frail fingers to indicate the corruption and ruthlessness of his life.	1	0
Failed	schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character .	schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character .	0	0
Failed	offers much to enjoy ... and a lot to mull over in terms of love , loyalty and the nature of staying friends .	offers much to enjoy ... and a lot to mull over in terms of love , loyalty and the nature of staying friends .	1	1
Successful	in execution , this clever idea is far less funny than the original , killers from space .	the original, the killer from the planet's space, is far more fun.	0	1
Successful	adults will wish the movie were less simplistic , obvious , clumsily plotted and shallowly characterized .	it would be simpler, more obvious, clearer, more obviously, simpler, more obviously and simpler.	0	1
Successful	so unassuming and pure of heart , you ca n't help but warmly extend your arms and yell ` safe ! '	"you can't help but warmly stretch your hands and call out: ""No!"""	1	0
Failed	professionally speaking , it 's tempting to jump ship in january to avoid ridiculous schlock like this shoddy suspense thriller .	professionally speaking , it 's tempting to jump ship in january to avoid ridiculous schlock like this shoddy suspense thriller .	0	0
Successful	this is not the undisputed worst boxing movie ever , but it 's certainly not a champion - the big loser is the audience .	the biggest loser is the audience, but it's not a boxing movie, but a boxing movie.	0	1
Failed	it 's another stale , kill-by-numbers flick , complete with blade-thin characters and terrible , pun-laden dialogue .	it 's another stale , kill-by-numbers flick , complete with blade-thin characters and terrible , pun-laden dialogue .	0	0
Successful	one of those pictures whose promising , if rather precious , premise is undercut by amateurish execution .	a picture of the promising, if not precious, basis of a promising, but perhaps costly, idea.	0	1
Failed	nothing 's at stake , just a twisty double-cross you can smell a mile away -- still , the derivative nine queens is lots of fun .	nothing 's at stake , just a twisty double-cross you can smell a mile away -- still , the derivative nine queens is lots of fun .	1	1
Successful	drops you into a dizzying , volatile , pressure-cooker of a situation that quickly snowballs out of control , while focusing on the what much more than the why .	it's a crazy, volatile, pressure cooker, and as soon as the pressure is released, it quickly collapses into chaos and confusion.	1	0
Failed	while undisputed is n't exactly a high , it is a gripping , tidy little movie that takes mr. hill higher than he 's been in a while .	while undisputed is n't exactly a high , it is a gripping , tidy little movie that takes mr. hill higher than he 's been in a while .	1	1
Failed	a delectable and intriguing thriller filled with surprises , read my lips is an original .	a delectable and intriguing thriller filled with surprises , read my lips is an original .	1	1
Failed	it does n't believe in itself , it has no sense of humor ... it 's just plain bored .	it does n't believe in itself , it has no sense of humor ... it 's just plain bored .	0	0
Successful	it seems to me the film is about the art of ripping people off without ever letting them consciously know you have done so	the film seems to be about the art of breaking people without ever knowing it's true.	0	1
Successful	the story and the friendship proceeds in such a way that you 're watching a soap opera rather than a chronicle of the ups and downs that accompany lifelong friendships .	the story and friendship will proceed in such a way that you'll see the soap opera rather than the history of friendships.	0	1
Failed	a warm , funny , engaging film .	a warm , funny , engaging film .	1	1
Failed	uses sharp humor and insight into human nature to examine class conflict , adolescent yearning , the roots of friendship and sexual identity .	uses sharp humor and insight into human nature to examine class conflict , adolescent yearning , the roots of friendship and sexual identity .	1	1
Failed	i thought my own watch had stopped keeping time as i slogged my way through clockstoppers .	i thought my own watch had stopped keeping time as i slogged my way through clockstoppers .	0	0
Failed	-lrb- serry -rrb- wants to blend politics and drama , an admirable ambition .	-lrb- serry -rrb- wants to blend politics and drama , an admirable ambition .	1	1
Successful	with tightly organized efficiency , numerous flashbacks and a constant edge of tension , miller 's film is one of 2002 's involvingly adult surprises .	the film Millers is about as mature as the film itself, with an extremely organized and complex efficiency that includes a lot of flashbacks and a constant tension.	1	0
Successful	the emotions are raw and will strike a nerve with anyone who 's ever had family trauma .	everyone who has had a family crisis will be affected by emotions that will be raw and harsh.	1	0
Failed	there seems to be no clear path as to where the story 's going , or how long it 's going to take to get there .	there seems to be no clear path as to where the story 's going , or how long it 's going to take to get there .	0	0
Successful	aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even better .	except that it's more like 1994, except for a little more minor tinkering.	1	0
Successful	by candidly detailing the politics involved in the creation of an extraordinary piece of music , -lrb- jones -rrb- calls our attention to the inherent conflict between commerce and creativity .	-lrb- says that the question of the contradiction between the creation of a great musical piece and commerce is simply reflected in the nature of the conflict between business and creativity.	1	0
Failed	a breezy romantic comedy that has the punch of a good sitcom , while offering exceptionally well-detailed characters .	a breezy romantic comedy that has the punch of a good sitcom , while offering exceptionally well-detailed characters .	1	1
Failed	because of an unnecessary and clumsy last scene , ` swimfan ' left me with a very bad feeling .	because of an unnecessary and clumsy last scene , ` swimfan ' left me with a very bad feeling .	0	0
Failed	exciting and direct , with ghost imagery that shows just enough to keep us on our toes .	exciting and direct , with ghost imagery that shows just enough to keep us on our toes .	1	1
Failed	a superbly acted and funny\/gritty fable of the humanizing of one woman at the hands of the unseen forces of fate .	a superbly acted and funny\/gritty fable of the humanizing of one woman at the hands of the unseen forces of fate .	1	1
Failed	the movie 's relatively simple plot and uncomplicated morality play well with the affable cast .	the movie 's relatively simple plot and uncomplicated morality play well with the affable cast .	1	1
Successful	in a way , the film feels like a breath of fresh air , but only to those that allow it in .	in fact, the film is fresh air, only to those who have access to it.	1	0
Failed	green might want to hang onto that ski mask , as robbery may be the only way to pay for his next project .	green might want to hang onto that ski mask , as robbery may be the only way to pay for his next project .	0	0
Successful	the socio-histo-political treatise is told in earnest strides ... -lrb- and -rrb- personal illusion is deconstructed with poignancy .	the social and political document is given a serious stride...... -lrb- and -rrb- a very painful illusion.	1	0
Failed	a beguiling splash of pastel colors and prankish comedy from disney .	a beguiling splash of pastel colors and prankish comedy from disney .	1	1
Successful	writer\/director joe carnahan 's grimy crime drama is a manual of precinct cliches , but it moves fast enough to cover its clunky dialogue and lapses in logic .	the grimy horror of the director's joe Carnahan's crime drama is a slow-burner, but it is easy to decipher the tedious dialogue and absences of logic.	1	0
Failed	too restrained to be a freak show , too mercenary and obvious to be cerebral , too dull and pretentious to be engaging ... the isle defies an easy categorization .	too restrained to be a freak show , too mercenary and obvious to be cerebral , too dull and pretentious to be engaging ... the isle defies an easy categorization .	0	0
Failed	based on a devilishly witty script by heather mcgowan and niels mueller , the film gets great laughs , but never at the expense of its characters	based on a devilishly witty script by heather mcgowan and niels mueller , the film gets great laughs , but never at the expense of its characters	1	1
Successful	the format gets used best ... to capture the dizzying heights achieved by motocross and bmx riders , whose balletic hotdogging occasionally ends in bone-crushing screwups .	for those riders, whose balletic and gymnastic hotdogs occasionally lead to a serious screwup, the format is best used to capture the dizzying heights achieved by motocross and bike races.	1	0
Successful	even in its most tedious scenes , russian ark is mesmerizing .	the most boring scenes are hypnotized by Russian Ark.	1	0
Successful	this surreal gilliam-esque film is also a troubling interpretation of ecclesiastes .	the hallucinatory film is also an ominous interpretation of the Catholic.	1	0
Failed	you wonder why enough was n't just a music video rather than a full-length movie .	you wonder why enough was n't just a music video rather than a full-length movie .	0	0
Successful	funny but perilously slight .	funny, but it's dangerous to have a little.	1	0
Successful	chabrol has taken promising material for a black comedy and turned it instead into a somber chamber drama .	Chabrol has turned a promising movie into a grim chamber drama.	0	1
Failed	in the end , we are left with something like two ships passing in the night rather than any insights into gay love , chinese society or the price one pays for being dishonest .	in the end , we are left with something like two ships passing in the night rather than any insights into gay love , chinese society or the price one pays for being dishonest .	0	0
Successful	this is wild surreal stuff , but brilliant and the camera just kind of sits there and lets you look at this and its like you 're going from one room to the next and none of them have any relation to the other .	it's kind of crazy, but great and the camera is just sitting there and you look around and nothing seems to relate to anyone else.	1	0
Successful	fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away .	the pictures of fresnadillo, jolting images that seem to come out of nowhere, are like nightmares that have been going on for a week.	1	0
Failed	` easily my choice for one of the year 's best films . '	` easily my choice for one of the year 's best films . '	1	1
Successful	pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins .	the pumpkin is able to take a decent look at the hypocrisy of political correctness, but the humor ends and tragedy starts with a good-natured tone that makes you laugh and never know if it	0	1
Failed	it 's so mediocre , despite the dynamic duo on the marquee , that we just ca n't get no satisfaction .	it 's so mediocre , despite the dynamic duo on the marquee , that we just ca n't get no satisfaction .	0	0
Successful	but it 's too long and too convoluted and it ends in a muddle .	it's too long and it's too complex and it's going to go.	0	1
Failed	no aspirations to social import inform the movie version .	no aspirations to social import inform the movie version .	0	0
Successful	outer-space buffs might love this film , but others will find its pleasures intermittent .	the film may be loved by the outsiders, but the film will be a good time for some of them.	0	1
Failed	rarely has so much money delivered so little entertainment .	rarely has so much money delivered so little entertainment .	0	0
Failed	so , too , is this comedy about mild culture clashing in today 's new delhi .	so , too , is this comedy about mild culture clashing in today 's new delhi .	1	1
Successful	a subject like this should inspire reaction in its audience ; the pianist does not .	the pianist's reaction should inspire the audience, not the pianist.	0	1
Successful	... routine , harmless diversion and little else .	... routine, harmless diversion and nothing else.	1	0
Successful	not really bad so much as distasteful : we need kidnapping suspense dramas right now like we need doomsday thrillers .	but it's not bad, not in the same way as distasteful: we need a thrilling drama that will be exactly like we need a terrifying	0	1
Failed	blanchett 's performance confirms her power once again .	blanchett 's performance confirms her power once again .	1	1
Failed	this is a winning ensemble comedy that shows canadians can put gentle laughs and equally gentle sentiments on the button , just as easily as their counterparts anywhere else in the world .	this is a winning ensemble comedy that shows canadians can put gentle laughs and equally gentle sentiments on the button , just as easily as their counterparts anywhere else in the world .	1	1
Failed	it ca n't decide if it wants to be a mystery\/thriller , a romance or a comedy .	it ca n't decide if it wants to be a mystery\/thriller , a romance or a comedy .	0	0
Successful	while the ideas about techno-saturation are far from novel , they 're presented with a wry dark humor .	while the techno-saturation concept is not new, the humor of its humor is dark.	1	0
Successful	the iditarod lasts for days - this just felt like it did .	it lasted a couple of days - but it felt like it was.	0	1
Failed	a warm but realistic meditation on friendship , family and affection .	a warm but realistic meditation on friendship , family and affection .	1	1
Successful	the volatile dynamics of female friendship is the subject of this unhurried , low-key film that is so off-hollywood that it seems positively french in its rhythms and resonance .	it's a film that's a little quiet, subtle, and surprisingly French in its rhythm and resonance that's such a small, unprofessionally filmed movie that it seems like a French man.	1	0
Failed	this movie is something of an impostor itself , stretching and padding its material in a blur of dead ends and distracting camera work .	this movie is something of an impostor itself , stretching and padding its material in a blur of dead ends and distracting camera work .	0	0
Successful	it can not be enjoyed , even on the level that one enjoys a bad slasher flick , primarily because it is dull .	even if it is an unpleasant film, which can only be enjoyed on a level that one would not enjoy a bad horror film.	0	1
Successful	sticky sweet sentimentality , clumsy plotting and a rosily myopic view of life in the wwii-era mississippi delta undermine this adaptation .	this adaptation is undermined by a stinging and cleverly painted-eyed view of life in the wwii-era	0	1
Failed	a film about a young man finding god that is accessible and touching to the marrow .	a film about a young man finding god that is accessible and touching to the marrow .	1	1
Failed	nonsensical , dull `` cyber-horror '' flick is a grim , hollow exercise in flat scares and bad acting .	nonsensical , dull `` cyber-horror '' flick is a grim , hollow exercise in flat scares and bad acting .	0	0
Successful	it 's hard to imagine alan arkin being better than he is in this performance .	in this performance, Allan Arkin is not better than he is.	1	0
Failed	it proves quite compelling as an intense , brooding character study .	it proves quite compelling as an intense , brooding character study .	1	1
Failed	a romantic comedy enriched by a sharp eye for manners and mores .	a romantic comedy enriched by a sharp eye for manners and mores .	1	1
Successful	nothing in waking up in reno ever inspired me to think of its inhabitants as anything more than markers in a screenplay .	nothing like waking up in reno to think of what it's like to be a real person, and nothing to think of the inhabitants of this	0	1
Successful	not since japanese filmmaker akira kurosawa 's ran have the savagery of combat and the specter of death been visualized with such operatic grandeur .	the savagery of combat and death has not been visualized since the Japanese director Akira Kurosawa's cinematography.	1	0
Successful	though only 60 minutes long , the film is packed with information and impressions .	it's a film that's just 60 minutes long, but there's information and opinions in it.	1	0
Failed	the character of zigzag is not sufficiently developed to support a film constructed around him .	the character of zigzag is not sufficiently developed to support a film constructed around him .	0	0
Successful	reggio 's continual visual barrage is absorbing as well as thought-provoking .	reggio's constant visual assault has absorbed and excused itself.	1	0
Successful	about a manga-like heroine who fights back at her abusers , it 's energetic and satisfying if not deep and psychological .	in the fight against her abusers, she's energetic and engaging, but she's not deep and deep and convincing about a manga-like heroine who is	1	0
Failed	too much of it feels unfocused and underdeveloped .	too much of it feels unfocused and underdeveloped .	0	0
Failed	unfortunately , it 's not silly fun unless you enjoy really bad movies .	unfortunately , it 's not silly fun unless you enjoy really bad movies .	0	0
Failed	the movie understands like few others how the depth and breadth of emotional intimacy give the physical act all of its meaning and most of its pleasure .	the movie understands like few others how the depth and breadth of emotional intimacy give the physical act all of its meaning and most of its pleasure .	1	1
Failed	in the end , the movie collapses on its shaky foundation despite the best efforts of director joe carnahan .	in the end , the movie collapses on its shaky foundation despite the best efforts of director joe carnahan .	0	0
Successful	cq 's reflection of artists and the love of cinema-and-self suggests nothing less than a new voice that deserves to be considered as a possible successor to the best european directors .	the absence of a new voice, which would be considered a possible successor to the best of the European directors, suggests only a reflection of the artists and the love of the cinema.	1	0
Successful	jones ... does offer a brutal form of charisma .	the influence of Jones is a harsh form of charisma.	1	0
Failed	it provides an honest look at a community striving to anchor itself in new grounds .	it provides an honest look at a community striving to anchor itself in new grounds .	1	1
Successful	not an objectionable or dull film ; it merely lacks everything except good intentions .	there are only a few things that are not bad or boring.	0	1
Failed	this is a good script , good dialogue , funny even for adults .	this is a good script , good dialogue , funny even for adults .	1	1
Successful	the lion king was a roaring success when it was released eight years ago , but on imax it seems better , not just bigger .	it was a roaring success when it was released eight years ago, but it seems more likely to succeed on the cinema screen.	1	0
Failed	kinnear does n't aim for our sympathy , but rather delivers a performance of striking skill and depth .	kinnear does n't aim for our sympathy , but rather delivers a performance of striking skill and depth .	1	1
Successful	is the time really ripe for a warmed-over james bond adventure , with a village idiot as the 007 clone ?	the time is ripe for a warmed-up James Bond adventure with a village idiot, as a kind of James Bond?	0	1
Successful	wince-inducing dialogue , thrift-shop costumes , prosthetic makeup by silly putty and kmart blue-light-special effects all conspire to test trekkie loyalty .	it tests the loyalty of Treks, on the basis of the idiosyncratic appearance of the shops, costumes, plastic-haired masks, and high-flying blue-light.	0	1
Failed	this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs .	this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs .	0	0
Failed	you really have to wonder how on earth anyone , anywhere could have thought they 'd make audiences guffaw with a script as utterly diabolical as this .	you really have to wonder how on earth anyone , anywhere could have thought they 'd make audiences guffaw with a script as utterly diabolical as this .	0	0
Successful	a quiet , pure , elliptical film	quiet, quiet, quiet, quiet, quiet, quiet, quiet	1	0
Successful	harrison 's flowers puts its heart in the right place , but its brains are in no particular place at all .	Harrison's flowers is in the right place, but his brains don't exactly fit.	1	0
Failed	it 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman .	it 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman .	1	1
Successful	no screen fantasy-adventure in recent memory has the showmanship of clones ' last 45 minutes .	last 45 minutes, there were no screen fantasy adventure, the last time the show's forerunner was taken.	1	0
Successful	despite the evocative aesthetics evincing the hollow state of modern love life , the film never percolates beyond a monotonous whine .	despite the fact that the film eviscerated the classic form of modern love, the film never deviated from a monotonous scream.	0	1
Successful	it 's difficult to imagine the process that produced such a script , but here 's guessing that spray cheese and underarm noises played a crucial role .	it's hard to imagine the script's production process, but there's a key role in the noises that it makes in the underarm.	0	1
Failed	building slowly and subtly , the film , sporting a breezy spontaneity and realistically drawn characterizations , develops into a significant character study that is both moving and wise .	building slowly and subtly , the film , sporting a breezy spontaneity and realistically drawn characterizations , develops into a significant character study that is both moving and wise .	1	1
Failed	overall the film feels like a low-budget tv pilot that could not find a buyer to play it on the tube .	overall the film feels like a low-budget tv pilot that could not find a buyer to play it on the tube .	0	0
Successful	this is human comedy at its most amusing , interesting and confirming .	it's a comedy that's more fun, more amusing and less likely to confirm.	1	0
Failed	the band 's courage in the face of official repression is inspiring , especially for aging hippies -lrb- this one included -rrb- .	the band 's courage in the face of official repression is inspiring , especially for aging hippies -lrb- this one included -rrb- .	1	1
Failed	this movie seems to have been written using mad-libs .	this movie seems to have been written using mad-libs .	0	0
Failed	thanks to haynes ' absolute control of the film 's mood , and buoyed by three terrific performances , far from heaven actually pulls off this stylistic juggling act .	thanks to haynes ' absolute control of the film 's mood , and buoyed by three terrific performances , far from heaven actually pulls off this stylistic juggling act .	1	1
Failed	more whiny downer than corruscating commentary .	more whiny downer than corruscating commentary .	0	0
Failed	the film is powerful , accessible and funny .	the film is powerful , accessible and funny .	1	1
Successful	a good piece of work more often than not .	I'm not going to be a good job.	1	0
Failed	there has always been something likable about the marquis de sade .	there has always been something likable about the marquis de sade .	1	1
Failed	in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey .	in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey .	0	0
Failed	care deftly captures the wonder and menace of growing up , but he never really embraces the joy of fuhrman 's destructive escapism or the grace-in-rebellion found by his characters .	care deftly captures the wonder and menace of growing up , but he never really embraces the joy of fuhrman 's destructive escapism or the grace-in-rebellion found by his characters .	0	0
Successful	the reality of the new live-action pinocchio he directed , cowrote and starred in borders on the grotesque .	in the new live-action picture he directed, he gave him the bizarre and played him on the big screen.	0	1
Failed	the chateau cleverly probes the cross-cultural differences between gauls and yanks .	the chateau cleverly probes the cross-cultural differences between gauls and yanks .	1	1
Failed	i can take infantile humor ... but this is the sort of infantile that makes you wonder about changing the director and writer 's diapers .	i can take infantile humor ... but this is the sort of infantile that makes you wonder about changing the director and writer 's diapers .	0	0
Failed	... the film suffers from a lack of humor -lrb- something needed to balance out the violence -rrb- ...	... the film suffers from a lack of humor -lrb- something needed to balance out the violence -rrb- ...	0	0
Successful	a working class `` us vs. them '' opera that leaves no heartstring untugged and no liberal cause unplundered .	an opera, opera that doesn't leave the heart of any liberal cause untidy.	1	0
Successful	so refreshingly incisive is grant that for the first time he 'll probably appeal more to guys than to their girlfriends who drag them to this movie for the hugh factor .	for starters, he's a film he will appeal more to guys than to the girl who dragged him to the movie for the charm factor.	1	0
